2025-11-03 17:04:28.0660|||35|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|WARN|No XML encryptor configured. Key {40866b92-197b-4b48-bb34-3899523e56bb} may be persisted to storage in unencrypted form. 
2025-11-03 17:04:28.1184|||14|Microsoft.Hosting.Lifetime|INFO|Now listening on: http://0.0.0.0:41481 
2025-11-03 17:04:28.1184||||Microsoft.Hosting.Lifetime|INFO|Application started. Press Ctrl+C to shut down. 
2025-11-03 17:04:28.1184||||Microsoft.Hosting.Lifetime|INFO|Hosting environment: Development 
2025-11-03 17:04:28.1220||||Microsoft.Hosting.Lifetime|INFO|Content root path: /workspace/FooterThucHanh/FooterThucHanh.Web 
2025-11-03 17:04:28.3575|None|00-dc64337eec34647b1c839f181e367524-407847842af34407-00|3|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|WARN|Failed to determine the https port for redirect. 
2025-11-03 17:04:38.8413||||Microsoft.Hosting.Lifetime|INFO|Application is shutting down... 
2025-11-03 17:04:45.9565|||14|Microsoft.Hosting.Lifetime|INFO|Now listening on: http://0.0.0.0:41481 
2025-11-03 17:04:45.9811||||Microsoft.Hosting.Lifetime|INFO|Application started. Press Ctrl+C to shut down. 
2025-11-03 17:04:45.9818||||Microsoft.Hosting.Lifetime|INFO|Hosting environment: Development 
2025-11-03 17:04:45.9818||||Microsoft.Hosting.Lifetime|INFO|Content root path: /workspace/FooterThucHanh/FooterThucHanh.Web 
2025-11-03 17:04:48.7009|None|00-40b3deae70c8c432c515773a7ff755e1-6ce05e7fd25984a0-00|3|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|WARN|Failed to determine the https port for redirect. 
2025-11-03 17:10:43.9263||||Microsoft.Hosting.Lifetime|INFO|Application is shutting down... 
2025-11-03 17:11:21.1472|||14|Microsoft.Hosting.Lifetime|INFO|Now listening on: http://0.0.0.0:41481 
2025-11-03 17:11:21.1728||||Microsoft.Hosting.Lifetime|INFO|Application started. Press Ctrl+C to shut down. 
2025-11-03 17:11:21.1728||||Microsoft.Hosting.Lifetime|INFO|Hosting environment: Development 
2025-11-03 17:11:21.1741||||Microsoft.Hosting.Lifetime|INFO|Content root path: /workspace/baitapchuan3T11/FooterThucHanh/FooterThucHanh.Web 
2025-11-03 17:11:21.3201|None|00-dbfb516b31e2f1e59566f7a835ad8b8c-9b497ee897c2715c-00|3|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|WARN|Failed to determine the https port for redirect. 
